Event,Start,End,Relation to Messaging?,Active Attendees,Sessions (Median)
G and A Kickoff,2015-12-08,2015-12-12,N,55,16.00
G and A Kickoff,2015-12-08,2015-12-12,Y,23,27.00
GE Power at PGI 2015,2015-12-08,2015-12-10,N,187,4.00
GE Power at PGI 2015,2015-12-08,2015-12-10,Y,35,18.00
Women's Voices Heard:State Legislator's Sum,2015-12-07,2015-12-09,N,21,2.00
Women's Voices Heard:State Legislator's Sum,2015-12-07,2015-12-09,Y,7,10.00
FORWARD 15: Action Before Reaction,2015-12-05,2015-12-08,N,445,40.00
FORWARD 15: Action Before Reaction,2015-12-05,2015-12-08,Y,301,71.00
UBS Australasia Conference,2015-11-16,2015-11-17,N,133,18.00
UBS Australasia Conference,2015-11-16,2015-11-17,Y,59,41.00
the Property Insurance Report National Conference,2015-11-15,2015-11-17,N,83,24.00
the Property Insurance Report National Conference,2015-11-15,2015-11-17,Y,114,54.00
INSIGHT 2015,2015-11-12,2015-11-12,N,96,16.50
INSIGHT 2015,2015-11-12,2015-11-12,Y,3,28.00
2015 North American Forum on Family Planning,2015-11-11,2015-11-16,N,528,36.50
2015 North American Forum on Family Planning,2015-11-11,2015-11-16,Y,85,70.00
Corporate Learning Week,2015-11-09,2015-11-11,N,83,26.00
Corporate Learning Week,2015-11-09,2015-11-11,Y,55,43.00
Constellation's Connected Enterprise 2015,2015-11-04,2015-11-06,N,63,46.00
Constellation's Connected Enterprise 2015,2015-11-04,2015-11-06,Y,64,91.50
