typ,yyyy_mm,pct_cnt
iPad (6.0),2015-07,0.01
iPad (6.0.1),2015-07,0.01
iPad (6.0.1),2015-08,0.01
iPad (6.0.1),2015-09,0.03
iPad (6.0.1),2015-10,0.02
iPad (6.0.2),2015-08,0.01
iPad (6.1),2015-07,0.01
iPad (6.1),2015-09,0.01
iPad (6.1.2),2015-07,0.02
iPad (6.1.2),2015-09,0.01
iPad (6.1.2),2015-10,0.01
iPad (6.1.3),2015-07,0.11
iPad (6.1.3),2015-08,0.09
iPad (6.1.3),2015-09,0.07
iPad (6.1.3),2015-10,0.05
iPad (7.0),2015-07,0.17
iPad (7.0),2015-08,0.13
iPad (7.0),2015-09,0.08
iPad (7.0),2015-10,0.13
iPad (7.0.2),2015-07,0.23
iPad (7.0.2),2015-08,0.26
iPad (7.0.2),2015-09,0.15
iPad (7.0.2),2015-10,0.15
iPad (7.0.3),2015-07,0.31
iPad (7.0.3),2015-08,0.44
iPad (7.0.3),2015-09,0.21
iPad (7.0.3),2015-10,0.24
iPad (7.0.4),2015-07,1.53
iPad (7.0.4),2015-08,1.53
iPad (7.0.4),2015-09,1.17
iPad (7.0.4),2015-10,0.97
iPad (7.0.6),2015-07,0.48
iPad (7.0.6),2015-08,0.53
iPad (7.0.6),2015-09,0.44
iPad (7.0.6),2015-10,0.42
iPad (7.1),2015-07,1.37
iPad (7.1),2015-08,1.66
iPad (7.1),2015-09,1.03
iPad (7.1),2015-10,1.04
iPad (7.1.1),2015-07,2.47
iPad (7.1.1),2015-08,2.75
iPad (7.1.1),2015-09,1.83
iPad (7.1.1),2015-10,1.80
iPad (7.1.2),2015-07,5.47
iPad (7.1.2),2015-08,4.42
iPad (7.1.2),2015-09,3.61
iPad (7.1.2),2015-10,3.25
iPad (8.0),2015-07,0.52
iPad (8.0),2015-08,0.57
iPad (8.0),2015-09,0.51
iPad (8.0),2015-10,0.34
iPad (8.0.2),2015-07,1.07
iPad (8.0.2),2015-08,0.80
iPad (8.0.2),2015-09,0.83
iPad (8.0.2),2015-10,0.85
iPad (8.1),2015-07,2.09
iPad (8.1),2015-08,2.50
iPad (8.1),2015-09,5.39
iPad (8.1),2015-10,1.88
iPad (8.1.1),2015-07,2.50
iPad (8.1.1),2015-08,1.63
iPad (8.1.1),2015-09,0.95
iPad (8.1.1),2015-10,1.00
iPad (8.1.2),2015-07,3.69
iPad (8.1.2),2015-08,3.29
iPad (8.1.2),2015-09,2.55
iPad (8.1.2),2015-10,2.19
iPad (8.1.3),2015-07,5.04
iPad (8.1.3),2015-08,3.87
iPad (8.1.3),2015-09,2.64
iPad (8.1.3),2015-10,2.32
iPad (8.2),2015-07,4.23
iPad (8.2),2015-08,3.75
iPad (8.2),2015-09,2.71
iPad (8.2),2015-10,2.82
iPad (8.3),2015-07,35.06
iPad (8.3),2015-08,16.70
iPad (8.3),2015-09,11.06
iPad (8.3),2015-10,10.96
iPad (8.4),2015-07,32.17
iPad (8.4),2015-08,38.42
iPad (8.4),2015-09,11.40
iPad (8.4),2015-10,8.61
iPad (8.4.1),2015-07,0.69
iPad (8.4.1),2015-08,15.36
iPad (8.4.1),2015-09,31.91
iPad (8.4.1),2015-10,13.39
iPad (9.0),2015-07,0.30
iPad (9.0),2015-08,0.72
iPad (9.0),2015-09,11.78
iPad (9.0),2015-10,3.60
iPad (9.0.1),2015-07,0.15
iPad (9.0.1),2015-08,0.19
iPad (9.0.1),2015-09,8.44
iPad (9.0.1),2015-10,8.37
iPad (9.0.2),2015-07,0.29
iPad (9.0.2),2015-08,0.35
iPad (9.0.2),2015-09,0.79
iPad (9.0.2),2015-10,34.03
iPad (9.1),2015-07,0.02
iPad (9.1),2015-08,0.01
iPad (9.1),2015-09,0.42
iPad (9.1),2015-10,1.57
