Job,Batch,Metric Log,Metric Log (Size),Metric Log (Row Count),Metric Log (Current Process Index),Status,Last Read At
views_live,17559,new_metrics_2016-02-16_00001.log,3095145054,219091,219090,DONE,2016-02-18 19:10:42.74
views_live,17572,new_metrics_2016-02-17_00001.log,3083539498,216235,216234,DONE,2016-02-18 19:19:44.517
views_live,17593,new_metrics_2016-02-18_00001.log,2217081421,150858,150857,READING,2016-02-18 19:47:24.376
sessions_live,17556,new_metrics_2016-02-16_00001.log,3095145054,219091,219090,DONE,2016-02-18 17:18:57.725
sessions_live,17570,new_metrics_2016-02-17_00001.log,3083539498,216235,216234,DONE,2016-02-18 17:43:19.184
sessions_live,17592,new_metrics_2016-02-18_00001.log,2215886595,150779,150778,READING,2016-02-18 19:46:57.134
states_live,17557,new_metrics_2016-02-16_00001.log,3095145054,219091,219090,DONE,2016-02-18 19:10:41.93
states_live,17568,new_metrics_2016-02-17_00001.log,3083539498,216235,216234,DONE,2016-02-18 19:18:48.913
states_live,17595,new_metrics_2016-02-18_00001.log,2217003632,150853,150852,READING,2016-02-18 19:47:23.205
actions_live,17554,new_metrics_2016-02-16_00001.log,3095145054,219091,219090,DONE,2016-02-18 19:11:54.088
actions_live,17567,new_metrics_2016-02-17_00001.log,3083539498,216235,216234,DONE,2016-02-18 19:22:23.375
actions_live,17599,new_metrics_2016-02-18_00001.log,2217308162,150888,150887,READING,2016-02-18 19:47:27.271
notifications_live,17591,new_metrics_2016-02-13_00001.log,2869547158,175779,175778,DONE,2016-02-18 19:05:54.973
notifications_live,17590,new_metrics_2016-02-16_00001.log,3095145054,213887,213886,DONE,2016-02-18 19:09:41.015
notifications_live,17597,new_metrics_2016-02-18_00001.log,2208311261,150191,150190,READING,2016-02-18 19:44:32.481
checkpoints_live,17555,new_metrics_2016-02-16_00001.log,3095145054,219091,219090,DONE,2016-02-18 19:09:39.931
checkpoints_live,17571,new_metrics_2016-02-17_00001.log,3083539498,216235,216234,DONE,2016-02-18 19:17:07.351
checkpoints_live,17594,new_metrics_2016-02-18_00001.log,2193057951,148996,148995,READING,2016-02-18 19:40:02.423
impressions_live,17558,new_metrics_2016-02-16_00001.log,3095145054,219091,219090,DONE,2016-02-18 19:15:06.49
impressions_live,17569,new_metrics_2016-02-17_00001.log,3083539498,216235,216234,DONE,2016-02-18 19:28:10.241
impressions_live,17598,new_metrics_2016-02-18_00001.log,2216582248,150834,150833,READING,2016-02-18 19:47:14.112
errors_live,17560,new_metrics_2016-02-16_00001.log,3095145054,219091,219090,DONE,2016-02-18 19:09:39.923
errors_live,17573,new_metrics_2016-02-17_00001.log,3083539498,203323,203322,DONE,2016-02-18 19:17:09.351
errors_live,17596,new_metrics_2016-02-18_00001.log,890288183,57634,57633,READING,2016-02-18 07:24:25.273
states_new,17563,metrics_2016-02-16_00001.log,119386030,177312,186130,RESUMING,
states_new,17577,metrics_2016-02-17_00001.log,105328662,156861,156860,RESUMING,
states_new,17581,zipper.sh,122,6,5,RESUMING,
notifications_new,17578,metrics_2016-02-17_00001.log,105328662,156861,156860,READING,
notifications_new,17602,metrics_2016-02-18_00001.log,-1,-1,0,WAITING,
notifications_new,17582,zipper.sh,122,6,5,RESUMING,
views_new,17574,metrics_2016-02-17_00001.log,105328662,156861,156860,RESUMING,
views_new,17600,metrics_2016-02-18_00001.log,-1,-1,0,READING,
views_new,17584,zipper.sh,122,6,5,RESUMING,
impressions_new,17561,metrics_2016-02-16_00001.log,119386030,177312,204421,STOPPED,
impressions_new,17575,metrics_2016-02-17_00001.log,105328662,156861,177463,RESUMING,
impressions_new,17585,zipper.sh,122,6,5,DONE,
actions_new,17576,metrics_2016-02-17_00001.log,105328662,156861,156860,READING,
actions_new,17603,metrics_2016-02-18_00001.log,-1,-1,0,WAITING,
actions_new,17583,zipper.sh,122,6,5,DONE,
sessions_new,17601,sessions_2016-02-18_00001.log,-1,-1,0,READING,
sessions_new,17580,zipper.sh,122,6,5,RESUMING,
sessions_new,17586,.zipper.sh.swp,0,1,0,RESUMING,
