Week Of,Event Type,App Sessions
Week of 2015-12-28,Conference,402416
Week of 2015-12-28,Corporate External,0
Week of 2015-12-28,Corporate Internal,4235
Week of 2015-12-28,Expo,0
Week of 2015-12-28,_Unknown,0
Week of 2016-01-01,Conference,0
Week of 2016-01-01,Corporate External,0
Week of 2016-01-01,Corporate Internal,52020
Week of 2016-01-01,Expo,146
Week of 2016-01-01,_Unknown,0
Week of 2016-01-04,Conference,159787
Week of 2016-01-04,Corporate External,28300
Week of 2016-01-04,Corporate Internal,354367
Week of 2016-01-04,Expo,13242
Week of 2016-01-04,_Unknown,4765
Week of 2016-01-11,Conference,143399
Week of 2016-01-11,Corporate External,4799
Week of 2016-01-11,Corporate Internal,584812
Week of 2016-01-11,Expo,822
Week of 2016-01-11,_Unknown,11137
Week of 2016-01-18,Conference,285742
Week of 2016-01-18,Corporate External,99880
Week of 2016-01-18,Corporate Internal,837922
Week of 2016-01-18,Expo,74662
Week of 2016-01-18,_Unknown,24563
Week of 2016-01-25,Conference,115884
Week of 2016-01-25,Corporate External,261568
Week of 2016-01-25,Corporate Internal,728002
Week of 2016-01-25,Expo,245192
Week of 2016-01-25,_Unknown,17694
Week of 2016-02-01,Conference,651098
Week of 2016-02-01,Corporate External,70449
Week of 2016-02-01,Corporate Internal,462568
Week of 2016-02-01,Expo,69244
Week of 2016-02-01,_Unknown,31940
Week of 2016-02-08,Conference,375460
Week of 2016-02-08,Corporate External,225840
Week of 2016-02-08,Corporate Internal,279826
Week of 2016-02-08,Expo,49052
Week of 2016-02-08,_Unknown,169486
Week of 2016-02-15,Conference,234463
Week of 2016-02-15,Corporate External,142153
Week of 2016-02-15,Corporate Internal,262897
Week of 2016-02-15,Expo,288
Week of 2016-02-15,_Unknown,94227
Week of 2016-02-22,Conference,23907
Week of 2016-02-22,Corporate External,39591
Week of 2016-02-22,Corporate Internal,55072
Week of 2016-02-22,Expo,0
Week of 2016-02-22,_Unknown,0
