Week Of,Event Type,Events Count
Week of 2016-01-01,Conference,1
Week of 2016-01-01,Corporate External,1
Week of 2016-01-01,Corporate Internal,3
Week of 2016-01-01,Expo,1
Week of 2016-01-01,_Unknown,1
Week of 2016-01-04,Conference,4
Week of 2016-01-04,Corporate External,2
Week of 2016-01-04,Corporate Internal,17
Week of 2016-01-04,Expo,1
Week of 2016-01-04,_Unknown,1
Week of 2016-01-11,Conference,6
Week of 2016-01-11,Corporate External,5
Week of 2016-01-11,Corporate Internal,36
Week of 2016-01-11,Expo,1
Week of 2016-01-11,_Unknown,4
Week of 2016-01-18,Conference,7
Week of 2016-01-18,Corporate External,4
Week of 2016-01-18,Corporate Internal,25
Week of 2016-01-18,Expo,1
Week of 2016-01-18,_Unknown,1
Week of 2016-01-25,Conference,6
Week of 2016-01-25,Corporate External,9
Week of 2016-01-25,Corporate Internal,32
Week of 2016-01-25,Expo,3
Week of 2016-01-25,_Unknown,2
Week of 2016-02-01,Conference,10
Week of 2016-02-01,Corporate External,6
Week of 2016-02-01,Corporate Internal,25
Week of 2016-02-01,Expo,3
Week of 2016-02-01,_Unknown,3
Week of 2016-02-08,Conference,9
Week of 2016-02-08,Corporate External,4
Week of 2016-02-08,Corporate Internal,19
Week of 2016-02-08,Expo,1
Week of 2016-02-08,_Unknown,2
Week of 2016-02-15,Conference,6
Week of 2016-02-15,Corporate External,7
Week of 2016-02-15,Corporate Internal,17
Week of 2016-02-15,Expo,1
Week of 2016-02-15,_Unknown,7
Week of 2016-02-22,Conference,10
Week of 2016-02-22,Corporate External,8
Week of 2016-02-22,Corporate Internal,26
Week of 2016-02-22,Expo,3
Week of 2016-02-22,_Unknown,3
Week of 2016-02-29,Conference,1
Week of 2016-02-29,Corporate External,2
Week of 2016-02-29,Corporate Internal,6
Week of 2016-02-29,Expo,1
Week of 2016-02-29,_Unknown,3
